satisfaction,effort,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,id,scope,productivity,squandering,stcov_c1,stcov_c2,stcov_c3,stcov_c4,stcov_c5,cluster,cluster_str,group_label
620.0,40,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,33,0.7222222222222222,15.5,0.5348837209302325,0.6612903225699792,0.7049180327839962,0.7187499999943848,0.692307692304142,0.6818181818155992,1,1,Cluster 1 (n=26)
641.0,41,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,34,0.7222222222222222,15.634146341463415,0.5232558139534884,0.6612903225699792,0.7213114754068799,0.7343749999942628,0.7076923076886785,0.7272727272699725,1,1,Cluster 1 (n=26)
642.0,43,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,35,0.6666666666666666,14.930232558139535,0.5,0.6612903225699792,0.7377049180297636,0.7499999999941407,0.6615384615350691,0.7424242424214302,1,1,Cluster 1 (n=26)
646.0,44,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,36,0.7222222222222222,14.681818181818182,0.4883720930232558,0.6774193548277836,0.7377049180297636,0.7343749999942628,0.7076923076886785,0.7272727272699725,1,1,Cluster 1 (n=26)
661.0,45,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,37,0.7777777777777778,14.688888888888888,0.47674418604651164,0.693548387085588,0.7377049180297636,0.7656249999940187,0.7384615384577515,0.7424242424214302,1,1,Cluster 1 (n=26)
663.0,46,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,38,0.7222222222222222,14.41304347826087,0.46511627906976744,0.7096774193433923,0.7704918032755308,0.7656249999940187,0.723076923073215,0.7272727272699725,1,1,Cluster 1 (n=26)
677.0,47,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,39,0.7222222222222222,14.404255319148936,0.45348837209302323,0.6774193548277836,0.7704918032755308,0.7968749999937745,0.723076923073215,0.7727272727243457,1,1,Cluster 1 (n=26)
687.0,49,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,40,0.7777777777777778,14.020408163265307,0.43023255813953487,0.7096774193433923,0.7704918032755308,0.7812499999938965,0.753846153842288,0.7878787878758036,1,1,Cluster 1 (n=26)
698.0,50,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,41,0.7222222222222222,13.96,0.4186046511627907,0.7096774193433923,0.7704918032755308,0.7968749999937745,0.7384615384577515,0.8333333333301768,1,1,Cluster 1 (n=26)
704.0,51,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,42,0.7777777777777778,13.803921568627452,0.4069767441860465,0.7419354838590011,0.803278688521298,0.8124999999936524,0.7692307692268245,0.7878787878758036,1,1,Cluster 1 (n=26)
707.0,53,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,43,0.8333333333333334,13.339622641509434,0.38372093023255816,0.7419354838590011,0.7868852458984145,0.8124999999936524,0.784615384611361,0.8030303030272613,1,1,Cluster 1 (n=26)
725.0,54,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,44,0.7777777777777778,13.425925925925926,0.37209302325581395,0.7741935483746099,0.803278688521298,0.8124999999936524,0.784615384611361,0.8484848484816345,1,1,Cluster 1 (n=26)
726.0,56,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,45,0.7222222222222222,12.964285714285714,0.3488372093023256,0.7741935483746099,0.8196721311441817,0.8281249999935304,0.7384615384577515,0.8636363636330924,1,1,Cluster 1 (n=26)
730.0,57,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,46,0.7777777777777778,12.807017543859649,0.3372093023255814,0.7903225806324142,0.8196721311441817,0.8124999999936524,0.784615384611361,0.8484848484816345,1,1,Cluster 1 (n=26)
