satisfaction,effort,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,id,scope,productivity,squandering,stcov_c1,stcov_c2,stcov_c3,stcov_c4,stcov_c5,efficiency_score
893.0,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,1.0,10.383720930232558,0.0,0.999999999983871,0.9999999999959017,0.9999999999921876,0.9999999999948719,0.9999999999962121,10383720930.232557
873.0,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,58,0.9444444444444444,10.646341463414634,0.046511627906976744,0.9677419354682623,0.983606557373018,0.9687499999924317,0.9692307692257989,0.9848484848447544,228.89634146341464
854.0,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,57,0.9444444444444444,11.236842105263158,0.11627906976744186,0.9354838709526535,0.9508196721272508,0.9687499999924317,0.9230769230721894,0.9848484848447544,96.63684210526316
834.0,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,56,0.8888888888888888,11.583333333333334,0.16279069767441862,0.9032258064370448,0.9344262295043672,0.9374999999926759,0.8923076923031165,0.9696969696932967,71.1547619047619
813.0,71,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,55,0.8888888888888888,11.450704225352112,0.1744186046511628,0.9032258064370448,0.9180327868814835,0.921874999992798,0.87692307691858,0.9242424242389233,65.6507042253521
808.0,68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,54,0.8888888888888888,11.882352941176471,0.20930232558139536,0.8870967741792404,0.9016393442585999,0.921874999992798,0.87692307691858,0.9242424242389233,56.77124183006536
793.0,67,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,53,0.8333333333333334,11.835820895522389,0.22093023255813954,0.870967741921436,0.9016393442585999,0.8906249999930421,0.846153846149507,0.9090909090874656,53.572663000785546
791.0,66,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,52,0.8888888888888888,11.984848484848484,0.23255813953488372,0.8548387096636317,0.8688524590128326,0.8906249999930421,0.8615384615340435,0.9242424242389233,51.53484848484848
788.0,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,51,0.8333333333333334,12.3125,0.2558139534883721,0.8548387096636317,0.8852459016357163,0.8906249999930421,0.846153846149507,0.9090909090874656,48.13068181818181
771.0,62,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,50,0.8333333333333334,12.435483870967742,0.27906976744186046,0.822580645148023,0.8524590163899489,0.8593749999932863,0.8307692307649704,0.9090909090874656,44.560483870967744
