satisfaction,effort,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,id,scope,productivity,squandering,stcov_c1,stcov_c2,stcov_c3,stcov_c4,stcov_c5,cluster,cluster_str,group_label
521.0,26,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,23,0.5555555555555556,20.03846153846154,0.6976744186046512,0.4999999999919355,0.5901639344238109,0.6093749999952394,0.5538461538433136,0.6060606060583104,-1,Noise,Cluster Noise (n=37)
538.0,28,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,24,0.5555555555555556,19.214285714285715,0.6744186046511628,0.5483870967653486,0.6229508196695781,0.6249999999951172,0.5538461538433136,0.6212121212097682,-1,Noise,Cluster Noise (n=37)
542.0,29,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,25,0.6111111111111112,18.689655172413794,0.6627906976744186,0.5483870967653486,0.6229508196695781,0.6249999999951172,0.6153846153814596,0.5909090909068526,-1,Noise,Cluster Noise (n=37)
556.0,30,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,26,0.6111111111111112,18.533333333333335,0.6511627906976745,0.5161290322497399,0.6229508196695781,0.6562499999948731,0.6153846153814596,0.636363636361226,-1,Noise,Cluster Noise (n=37)
573.0,32,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,27,0.6111111111111112,17.90625,0.627906976744186,0.564516129023153,0.6557377049153453,0.6718749999947511,0.6153846153814596,0.6515151515126837,-1,Noise,Cluster Noise (n=37)
579.0,33,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,28,0.6111111111111112,17.545454545454547,0.6162790697674418,0.5806451612809573,0.6557377049153453,0.6718749999947511,0.5999999999969231,0.6818181818155992,-1,Noise,Cluster Noise (n=37)
583.0,34,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,29,0.6666666666666666,17.147058823529413,0.6046511627906976,0.5806451612809573,0.6557377049153453,0.6718749999947511,0.6615384615350691,0.6515151515126837,-1,Noise,Cluster Noise (n=37)
590.0,35,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,30,0.6111111111111112,16.857142857142858,0.5930232558139535,0.564516129023153,0.672131147538229,0.687499999994629,0.6307692307659961,0.6818181818155992,-1,Noise,Cluster Noise (n=37)
600.0,36,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,31,0.6666666666666666,16.666666666666668,0.5813953488372093,0.6290322580543705,0.6885245901611127,0.687499999994629,0.6615384615350691,0.6666666666641414,-1,Noise,Cluster Noise (n=37)
614.0,37,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,32,0.6666666666666666,16.594594594594593,0.5697674418604651,0.5967741935387617,0.6885245901611127,0.7187499999943848,0.6615384615350691,0.7121212121185148,-1,Noise,Cluster Noise (n=37)
620.0,40,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,33,0.7222222222222222,15.5,0.5348837209302325,0.6612903225699792,0.7049180327839962,0.7187499999943848,0.692307692304142,0.6818181818155992,-1,Noise,Cluster Noise (n=37)
641.0,41,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,34,0.7222222222222222,15.634146341463415,0.5232558139534884,0.6612903225699792,0.7213114754068799,0.7343749999942628,0.7076923076886785,0.7272727272699725,-1,Noise,Cluster Noise (n=37)
642.0,43,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,35,0.6666666666666666,14.930232558139535,0.5,0.6612903225699792,0.7377049180297636,0.7499999999941407,0.6615384615350691,0.7424242424214302,-1,Noise,Cluster Noise (n=37)
646.0,44,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,36,0.7222222222222222,14.681818181818182,0.4883720930232558,0.6774193548277836,0.7377049180297636,0.7343749999942628,0.7076923076886785,0.7272727272699725,-1,Noise,Cluster Noise (n=37)
661.0,45,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,37,0.7777777777777778,14.688888888888888,0.47674418604651164,0.693548387085588,0.7377049180297636,0.7656249999940187,0.7384615384577515,0.7424242424214302,-1,Noise,Cluster Noise (n=37)
663.0,46,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,38,0.7222222222222222,14.41304347826087,0.46511627906976744,0.7096774193433923,0.7704918032755308,0.7656249999940187,0.723076923073215,0.7272727272699725,-1,Noise,Cluster Noise (n=37)
677.0,47,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,39,0.7222222222222222,14.404255319148936,0.45348837209302323,0.6774193548277836,0.7704918032755308,0.7968749999937745,0.723076923073215,0.7727272727243457,-1,Noise,Cluster Noise (n=37)
687.0,49,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,40,0.7777777777777778,14.020408163265307,0.43023255813953487,0.7096774193433923,0.7704918032755308,0.7812499999938965,0.753846153842288,0.7878787878758036,-1,Noise,Cluster Noise (n=37)
698.0,50,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,41,0.7222222222222222,13.96,0.4186046511627907,0.7096774193433923,0.7704918032755308,0.7968749999937745,0.7384615384577515,0.8333333333301768,-1,Noise,Cluster Noise (n=37)
704.0,51,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,42,0.7777777777777778,13.803921568627452,0.4069767441860465,0.7419354838590011,0.803278688521298,0.8124999999936524,0.7692307692268245,0.7878787878758036,-1,Noise,Cluster Noise (n=37)
707.0,53,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,43,0.8333333333333334,13.339622641509434,0.38372093023255816,0.7419354838590011,0.7868852458984145,0.8124999999936524,0.784615384611361,0.8030303030272613,-1,Noise,Cluster Noise (n=37)
725.0,54,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,44,0.7777777777777778,13.425925925925926,0.37209302325581395,0.7741935483746099,0.803278688521298,0.8124999999936524,0.784615384611361,0.8484848484816345,-1,Noise,Cluster Noise (n=37)
726.0,56,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,45,0.7222222222222222,12.964285714285714,0.3488372093023256,0.7741935483746099,0.8196721311441817,0.8281249999935304,0.7384615384577515,0.8636363636330924,-1,Noise,Cluster Noise (n=37)
730.0,57,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,46,0.7777777777777778,12.807017543859649,0.3372093023255814,0.7903225806324142,0.8196721311441817,0.8124999999936524,0.784615384611361,0.8484848484816345,-1,Noise,Cluster Noise (n=37)
745.0,58,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,47,0.8333333333333334,12.844827586206897,0.32558139534883723,0.8064516128902186,0.8196721311441817,0.8437499999934083,0.8153846153804339,0.8636363636330924,-1,Noise,Cluster Noise (n=37)
750.0,59,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,48,0.8333333333333334,12.711864406779661,0.313953488372093,0.7903225806324142,0.8524590163899489,0.8593749999932863,0.8153846153804339,0.8484848484816345,-1,Noise,Cluster Noise (n=37)
761.0,60,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,49,0.7777777777777778,12.683333333333334,0.3023255813953488,0.7903225806324142,0.8524590163899489,0.8749999999931641,0.7999999999958974,0.8939393939360079,-1,Noise,Cluster Noise (n=37)
771.0,62,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,50,0.8333333333333334,12.435483870967742,0.27906976744186046,0.822580645148023,0.8524590163899489,0.8593749999932863,0.8307692307649704,0.9090909090874656,-1,Noise,Cluster Noise (n=37)
788.0,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,51,0.8333333333333334,12.3125,0.2558139534883721,0.8548387096636317,0.8852459016357163,0.8906249999930421,0.846153846149507,0.9090909090874656,-1,Noise,Cluster Noise (n=37)
791.0,66,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,52,0.8888888888888888,11.984848484848484,0.23255813953488372,0.8548387096636317,0.8688524590128326,0.8906249999930421,0.8615384615340435,0.9242424242389233,-1,Noise,Cluster Noise (n=37)
793.0,67,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,53,0.8333333333333334,11.835820895522389,0.22093023255813954,0.870967741921436,0.9016393442585999,0.8906249999930421,0.846153846149507,0.9090909090874656,-1,Noise,Cluster Noise (n=37)
808.0,68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,54,0.8888888888888888,11.882352941176471,0.20930232558139536,0.8870967741792404,0.9016393442585999,0.921874999992798,0.87692307691858,0.9242424242389233,-1,Noise,Cluster Noise (n=37)
813.0,71,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,55,0.8888888888888888,11.450704225352112,0.1744186046511628,0.9032258064370448,0.9180327868814835,0.921874999992798,0.87692307691858,0.9242424242389233,-1,Noise,Cluster Noise (n=37)
834.0,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,56,0.8888888888888888,11.583333333333334,0.16279069767441862,0.9032258064370448,0.9344262295043672,0.9374999999926759,0.8923076923031165,0.9696969696932967,-1,Noise,Cluster Noise (n=37)
