satisfaction,effort,time,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,req_36,req_37,req_38,req_39,req_40,req_41,req_42,id,productivity,response,opportunity,scope,squandering,stcov_cv1,stcov_cv2,stcov_cv3,stcov_cv4,efficiency_score
5343.9,850,4939.0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,263,6.286941176470588,5.810588235294118,1.0819801579267057,0.6904761904761905,0.40014114326040934,0.7605042016803172,0.8353413654607291,0.8484848484843343,0.7833935018046502,1.7255815906609555
5294.9,848,4890.0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,262,6.243985849056603,5.7665094339622645,1.08280163599182,0.6904761904761905,0.4015525758645025,0.7605042016803172,0.8353413654607291,0.8484848484843343,0.7581227436819195,1.7195162775127624
5629.5,847,4685.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,261,6.646399055489964,5.531286894923259,1.2016008537886873,0.6904761904761905,0.40225829216654907,0.7226890756299147,0.7831325301194336,0.8060606060601175,0.765342960288414,1.7164995822890559
5299.9,846,4869.0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,260,6.264657210401891,5.75531914893617,1.0884986650236188,0.6904761904761905,0.40296400846859565,0.7394957983189825,0.8313253012037064,0.8424242424237318,0.7906137184111446,1.7134934534234008
5297.9,831,4884.0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,250,6.375330926594464,5.877256317689531,1.0847461097461097,0.6904761904761905,0.4135497529992943,0.7394957983189825,0.8313253012037064,0.8242424242419247,0.8050541516241335,1.6696326994961805
5598.7,845,4772.0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,259,6.625680473372781,5.647337278106509,1.1732397317686505,0.6666666666666666,0.4036697247706422,0.7310924369744486,0.8112449799185927,0.81212121212072,0.765342960288414,1.6515151515151514
5602.5,841,4643.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,258,6.661712247324614,5.520808561236623,1.2066551798406202,0.6666666666666666,0.40649258997882853,0.7142857142853808,0.7911646586334791,0.8181818181813223,0.7472924187721778,1.640046296296296
5573.7,839,4732.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,257,6.64326579261025,5.640047675804529,1.1778740490278952,0.6666666666666666,0.4079040225829217,0.7268907563021817,0.7991967871475245,0.81212121212072,0.7617328519851667,1.6343713956170702
5274.9,837,4894.0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,255,6.302150537634408,5.847072879330944,1.0778299959133633,0.6666666666666666,0.40931545518701484,0.7436974789912495,0.8273092369466837,0.8363636363631295,0.7797833935014029,1.628735632183908
5538.7,835,4678.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,254,6.633173652694611,5.6023952095808385,1.1839888841385207,0.6666666666666666,0.410726887791108,0.7058823529408469,0.7911646586334791,0.8090909090904187,0.7725631768949084,1.6231386025200456
5563.5,834,4614.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,253,6.670863309352518,5.532374100719425,1.2057867360208063,0.6666666666666666,0.4114326040931546,0.7184873949576478,0.7791164658624108,0.781818181817708,0.7581227436819195,1.6203544882790164
5542.5,828,4603.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,249,6.693840579710145,5.559178743961352,1.204106017814469,0.6666666666666666,0.41566690190543404,0.7142857142853808,0.7791164658624108,0.7999999999995152,0.7364620938624361,1.6038483305036784
5507.5,824,4549.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,247,6.683859223300971,5.520631067961165,1.2107056495933173,0.6666666666666666,0.41848976711362035,0.6932773109240461,0.7710843373483653,0.7969696969692139,0.7472924187721778,1.5930297920179874
5478.7,822,4638.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,246,6.665085158150851,5.642335766423358,1.18126347563605,0.6666666666666666,0.4199011997177135,0.7058823529408469,0.7791164658624108,0.7909090909086116,0.7617328519851667,1.5876750700280111
5228.9,818,4839.0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,244,6.392298288508557,5.9156479217603914,1.0805744988634014,0.6666666666666666,0.4227240649258998,0.7226890756299147,0.823293172689661,0.81212121212072,0.8014440433208864,1.577072899276572
5550.7,838,4738.0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,256,6.623747016706444,5.6539379474940334,1.1715280709159983,0.6428571428571429,0.40860973888496827,0.7184873949576478,0.8032128514045472,0.781818181817708,0.7833935018046502,1.573279052553664
