satisfaction,effort,time,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,req_36,req_37,req_38,req_39,req_40,req_41,req_42,id,productivity,response,opportunity,scope,squandering,stcov_cv1,stcov_cv2,stcov_cv3,stcov_cv4,score_topsis
5629.5,847,4685.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,261,6.646399055489964,5.531286894923259,1.2016008537886873,0.6904761904761905,0.40225829216654907,0.7226890756299147,0.7831325301194336,0.8060606060601175,0.765342960288414,0.5695981068257059
5297.9,831,4884.0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,250,6.375330926594464,5.877256317689531,1.0847461097461097,0.6904761904761905,0.4135497529992943,0.7394957983189825,0.8313253012037064,0.8242424242419247,0.8050541516241335,0.5679056826150499
5343.9,850,4939.0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,263,6.286941176470588,5.810588235294118,1.0819801579267057,0.6904761904761905,0.40014114326040934,0.7605042016803172,0.8353413654607291,0.8484848484843343,0.7833935018046502,0.5663711680809393
5598.7,845,4772.0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,259,6.625680473372781,5.647337278106509,1.1732397317686505,0.6666666666666666,0.4036697247706422,0.7310924369744486,0.8112449799185927,0.81212121212072,0.765342960288414,0.5654858766792213
5573.7,839,4732.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,257,6.64326579261025,5.640047675804529,1.1778740490278952,0.6666666666666666,0.4079040225829217,0.7268907563021817,0.7991967871475245,0.81212121212072,0.7617328519851667,0.5650871144367392
5299.9,846,4869.0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,260,6.264657210401891,5.75531914893617,1.0884986650236188,0.6904761904761905,0.40296400846859565,0.7394957983189825,0.8313253012037064,0.8424242424237318,0.7906137184111446,0.5642579829676153
5294.9,848,4890.0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,262,6.243985849056603,5.7665094339622645,1.08280163599182,0.6904761904761905,0.4015525758645025,0.7605042016803172,0.8353413654607291,0.8484848484843343,0.7581227436819195,0.5641622595873858
5478.7,822,4638.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,246,6.665085158150851,5.642335766423358,1.18126347563605,0.6666666666666666,0.4199011997177135,0.7058823529408469,0.7791164658624108,0.7909090909086116,0.7617328519851667,0.5636781960026344
5538.7,835,4678.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,254,6.633173652694611,5.6023952095808385,1.1839888841385207,0.6666666666666666,0.410726887791108,0.7058823529408469,0.7911646586334791,0.8090909090904187,0.7725631768949084,0.5635521443506795
5542.5,828,4603.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,249,6.693840579710145,5.559178743961352,1.204106017814469,0.6666666666666666,0.41566690190543404,0.7142857142853808,0.7791164658624108,0.7999999999995152,0.7364620938624361,0.5633592839702294
