satisfaction,effort,time,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,req_36,req_37,req_38,req_39,req_40,req_41,req_42,id,productivity,response,opportunity,scope,squandering,stcov_cv1,stcov_cv2,stcov_cv3,stcov_cv4,score
5629.5,847,4685.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,261,6.646399055489964,5.531286894923259,1.2016008537886873,0.6904761904761905,0.40225829216654907,0.7226890756299147,0.7831325301194336,0.8060606060601175,0.765342960288414,1.9911240474377156
5507.5,824,4549.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,247,6.683859223300971,5.520631067961165,1.2107056495933173,0.6666666666666666,0.41848976711362035,0.6932773109240461,0.7710843373483653,0.7969696969692139,0.7472924187721778,1.9745327065532468
5602.5,841,4643.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,258,6.661712247324614,5.520808561236623,1.2066551798406202,0.6666666666666666,0.40649258997882853,0.7142857142853808,0.7911646586334791,0.8181818181813223,0.7472924187721778,1.9720249232430007
5563.5,834,4614.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,253,6.670863309352518,5.532374100719425,1.2057867360208063,0.6666666666666666,0.4114326040931546,0.7184873949576478,0.7791164658624108,0.781818181817708,0.7581227436819195,1.9626735247448843
5542.5,828,4603.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,249,6.693840579710145,5.559178743961352,1.204106017814469,0.6666666666666666,0.41566690190543404,0.7142857142853808,0.7791164658624108,0.7999999999995152,0.7364620938624361,1.9552824795400265
5441.5,811,4478.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,238,6.709617755856967,5.52157829839704,1.2151630192050022,0.6428571428571429,0.42766407904022585,0.6890756302517791,0.7670682730913426,0.7727272727268044,0.7400722021656833,1.9475805720846737
5420.5,805,4467.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,233,6.733540372670808,5.549068322981366,1.2134542198343408,0.6428571428571429,0.4318983768525053,0.6848739495795122,0.7670682730913426,0.7909090909086116,0.7184115523461999,1.940313472172191
5476.5,815,4532.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,241,6.719631901840491,5.560736196319018,1.2084068843777582,0.6428571428571429,0.42484121383203954,0.7100840336131139,0.7751004016053881,0.7757575757571056,0.7292418772559416,1.9276756864914848
5358.5,801,4418.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,231,6.689762796504369,5.515605493133583,1.2128791308284292,0.6428571428571429,0.4347212420606916,0.6806722689072453,0.7429718875492062,0.7696969696965033,0.7184115523461999,1.920265410688961
5354.5,792,4396.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,226,6.7607323232323235,5.55050505050505,1.218039126478617,0.6190476190476191,0.4410726887791108,0.6806722689072453,0.7630522088343199,0.766666666666202,0.7111913357397054,1.914285819141175
5292.5,788,4347.0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,222,6.716370558375634,5.516497461928934,1.2175063262019783,0.6190476190476191,0.44389555398729713,0.6764705882349783,0.7389558232921835,0.7454545454540936,0.7111913357397054,1.8942621333791352
