satisfaction,prevalence,cost,dissatisfaction,inestability,effort,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,id,throughput,productivity,squandering,effectiveness,dirtiness,annoyance,stickiness,fragility,robustness,usage_efficiency
270,128,600,273,298,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.045454545454545456,0.675,0.983676800652928,0.45,0.6825,1.011111111111111,0.32,95.36,0.9060402684563759,0.21333333333333335
380,197,200,180,306,540,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.045454545454545456,0.7037037037037037,0.9779636808814528,1.9,0.3333333333333333,0.47368421052631576,0.3648148148148148,111.63333333333334,1.2418300653594772,0.985
366,97,500,159,238,730,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0.045454545454545456,0.5013698630136987,0.9702101611915935,0.732,0.21780821917808219,0.4344262295081967,0.13287671232876713,31.624657534246577,1.5378151260504203,0.194
390,273,800,172,382,770,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.045454545454545456,0.5064935064935064,0.9685778412568864,0.4875,0.22337662337662337,0.441025641025641,0.35454545454545455,135.43636363636364,1.0209424083769634,0.34125
260,271,200,241,340,830,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.045454545454545456,0.3132530120481928,0.9661293613548255,1.3,0.29036144578313255,0.926923076923077,0.3265060240963855,111.01204819277109,0.7647058823529411,1.355
384,189,250,211,347,890,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.045454545454545456,0.4314606741573034,0.9636808814527648,1.536,0.23707865168539327,0.5494791666666666,0.21235955056179776,73.68876404494382,1.106628242074928,0.756
650,325,800,453,604,940,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,0.09090909090909091,0.6914893617021277,0.9616404815343808,0.8125,0.4819148936170213,0.696923076923077,0.34574468085106386,208.82978723404256,1.076158940397351,0.40625
296,228,1000,257,347,1035,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.045454545454545456,0.28599033816425123,0.9577637216894511,0.296,0.24830917874396136,0.8682432432432432,0.22028985507246376,76.44057971014493,0.8530259365994236,0.228
198,123,750,105,209,1065,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0.045454545454545456,0.18591549295774648,0.9565394817384207,0.264,0.09859154929577464,0.5303030303030303,0.11549295774647887,24.138028169014085,0.9473684210526315,0.164
636,225,1100,432,536,1130,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10,0.09090909090909091,0.5628318584070796,0.9538869618445215,0.5781818181818181,0.3823008849557522,0.6792452830188679,0.19911504424778761,106.72566371681415,1.1865671641791045,0.20454545454545456
200,153,500,138,296,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0.045454545454545456,0.17391304347826086,0.953070801877168,0.4,0.12,0.69,0.13304347826086957,39.38086956521739,0.6756756756756757,0.306
660,401,1400,445,680,1170,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0.09090909090909091,0.5641025641025641,0.9522546419098143,0.4714285714285714,0.3803418803418803,0.6742424242424242,0.34273504273504274,233.05982905982907,0.9705882352941176,0.2864285714285714
530,399,800,514,638,1230,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0.09090909090909091,0.43089430894308944,0.9498061620077535,0.6625,0.41788617886178864,0.969811320754717,0.32439024390243903,206.9609756097561,0.8307210031347962,0.49875
220,58,1000,119,196,1265,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0.045454545454545456,0.17391304347826086,0.9483778820648847,0.22,0.09407114624505929,0.5409090909090909,0.0458498023715415,8.986561264822134,1.1224489795918366,0.058
746,294,700,339,544,1270,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,0.09090909090909091,0.5874015748031496,0.9481738420730463,1.0657142857142856,0.2669291338582677,0.4544235924932976,0.231496062992126,125.93385826771653,1.3713235294117647,0.42
654,317,850,484,645,1290,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0.09090909090909091,0.5069767441860465,0.9473576821056927,0.7694117647058824,0.3751937984496124,0.7400611620795107,0.24573643410852714,158.5,1.013953488372093,0.3729411764705882
770,470,1000,352,688,1310,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0.09090909090909091,0.5877862595419847,0.9465415221383391,0.77,0.2687022900763359,0.45714285714285713,0.35877862595419846,246.83969465648855,1.119186046511628,0.47
298,181,1000,248,206,1350,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.045454545454545456,0.22074074074074074,0.944909202203632,0.298,0.1837037037037037,0.8322147651006712,0.13407407407407407,27.61925925925926,1.4466019417475728,0.181
640,468,400,421,646,1370,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0.09090909090909091,0.46715328467153283,0.9440930422362783,1.6,0.3072992700729927,0.6578125,0.3416058394160584,220.67737226277373,0.9907120743034056,1.17
