effort,satisfaction,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,id,productivity,squandering,stcov_c1,stcov_c2,stcov_c3,stcov_c4
20,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.9970326409495549,0.0,0.10526315789473684,0.0,0.15789473684210525
30,8.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.26666666666666666,0.9955489614243324,0.15,0.10526315789473684,0.0,0.15789473684210525
40,9.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.225,0.9940652818991098,0.2,0.10526315789473684,0.0,0.15789473684210525
50,10.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0.2,0.9925816023738873,0.15,0.10526315789473684,0.0,0.2631578947368421
60,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0.18333333333333332,0.9910979228486647,0.15,0.2631578947368421,0.0,0.15789473684210525
70,12.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0.17142857142857143,0.9896142433234422,0.2,0.2631578947368421,0.0,0.15789473684210525
80,13.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,7,0.1625,0.9881305637982196,0.15,0.2631578947368421,0.0,0.2631578947368421
90,14.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,8,0.15555555555555556,0.9866468842729971,0.2,0.2631578947368421,0.0,0.2631578947368421
100,15.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,9,0.15,0.9851632047477745,0.2,0.2631578947368421,0.038461538461538464,0.2631578947368421
120,16.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,10,0.13333333333333333,0.9821958456973294,0.2,0.3157894736842105,0.038461538461538464,0.2631578947368421
130,17.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,11,0.13076923076923078,0.9807121661721068,0.35,0.2631578947368421,0.11538461538461539,0.2631578947368421
140,18.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,12,0.12857142857142856,0.9792284866468842,0.35,0.2631578947368421,0.15384615384615385,0.2631578947368421
160,19.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,13,0.11875,0.9762611275964391,0.35,0.3157894736842105,0.15384615384615385,0.2631578947368421
180,20.0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,14,0.1111111111111111,0.973293768545994,0.35,0.3157894736842105,0.15384615384615385,0.3157894736842105
190,21.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,15,0.11052631578947368,0.9718100890207715,0.35,0.42105263157894735,0.15384615384615385,0.2631578947368421
210,22.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,16,0.10476190476190476,0.9688427299703264,0.35,0.47368421052631576,0.15384615384615385,0.2631578947368421
230,23.0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,17,0.1,0.9658753709198813,0.35,0.47368421052631576,0.15384615384615385,0.3157894736842105
250,24.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,18,0.096,0.9629080118694362,0.35,0.42105263157894735,0.19230769230769232,0.2631578947368421
270,25.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,19,0.09259259259259259,0.9599406528189911,0.35,0.47368421052631576,0.19230769230769232,0.2631578947368421
