effort,satisfaction,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,req_36,req_37,req_38,req_39,req_40,req_41,req_42,req_43,req_44,req_45,req_46,req_47,req_48,req_49,req_50,req_51,req_52,req_53,req_54,req_55,req_56,req_57,req_58,req_59,req_60,req_61,req_62,req_63,req_64,req_65,req_66,req_67,req_68,req_69,req_70,req_71,req_72,req_73,req_74,req_75,req_76,req_77,req_78,req_79,req_80,req_81,req_82,req_83,id,productivity,squandering,stcov_c1,stcov_c2,stcov_c3,stcov_c4,stcov_c5,stcov_c6,stcov_c7,stcov_c8,stcov_c9,stcov_c10,stcov_c11,stcov_c12,stcov_c13,stcov_c14,stcov_c15,stcov_c16,stcov_c17,stcov_c18,stcov_c19,stcov_c20,stcov_c21,stcov_c22,stcov_c23,stcov_c24,stcov_c25,stcov_c26,stcov_c27,stcov_c28,stcov_c29,stcov_c30,stcov_c31,stcov_c32,stcov_c33,stcov_c34,stcov_c35,stcov_c36,stcov_c37,stcov_c38,stcov_c39,stcov_c40,stcov_c41,stcov_c42,stcov_c43,stcov_c44,stcov_c45,stcov_c46,stcov_c47,stcov_c48,stcov_c49,stcov_c50,stcov_c51,stcov_c52,stcov_c53,stcov_c54,stcov_c55,stcov_c56,stcov_c57,stcov_c58,stcov_c59,stcov_c60,stcov_c61,stcov_c62,stcov_c63,stcov_c64,stcov_c65,stcov_c66,stcov_c67,stcov_c68,stcov_c69,stcov_c70,stcov_c71,stcov_c72,stcov_c73,stcov_c74,stcov_c75,stcov_c76,stcov_c77,stcov_c78,stcov_c79,stcov_c80,stcov_c81,stcov_c82,stcov_c83,stcov_c84,stcov_c85,stcov_c86,stcov_c87,stcov_c88,stcov_c89,stcov_c90,stcov_c91,stcov_c92,stcov_c93,stcov_c94,stcov_c95,stcov_c96,stcov_c97,stcov_c98,stcov_c99,stcov_c100,stcov_c101,stcov_c102,stcov_c103,stcov_c104,stcov_c105,stcov_c106,stcov_c107,stcov_c108,stcov_c109,stcov_c110,stcov_c111,stcov_c112,stcov_c113,stcov_c114,stcov_c115,stcov_c116,stcov_c117,stcov_c118,stcov_c119,stcov_c120,stcov_c121,stcov_c122,stcov_c123,stcov_c124,stcov_c125,stcov_c126,stcov_c127,stcov_c128,stcov_c129,stcov_c130
50,4683.84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,93.6768,0.996993566231736,0.0,0.0,0.0,0.0,0.014285714290389611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004545454551319649,0.02,0.0,0.05681818181747995,0.0,0.0,0.025252525251543208,0.0,0.0,0.0,0.0,0.0,0.036363636367627496,0.12727272727763633,0.0,0.00909090909009091,0.04545454545272728,0.022727272728835228,0.022281639929411762,0.00909090909009091,0.0,0.0,0.0,0.0,0.0,0.05,0.10454545449581819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016363636360167078,0.0,0.0,0.05227272727084257,0.03181818182352941,0.0,0.0,0.0,0.0,0.027272727270707068,0.0,0.009090909090272728,0.0,0.0,0.0,0.0,0.06363636363533334,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.01818181817981818,0.0,0.0,0.0,0.020661157030369415,0.054545454548514845,0.0,0.0,0.0116550116621904,0.007142857140142857,0.0,0.037234042554421545,0.0,0.0,0.0,0.025,0.0,0.09545454545449496,0.0,0.027272727265871835,0.049999999997499996,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02708333332781439,0.0,0.030519480520000003,0.0,0.0,0.0,0.025,0.0,0.0375,0.0,0.009706083390679425,0.0,0.0375,0.0,0.0,0.0,0.05,0.0,0.018181818180363636,0.0696428571409909,0.0,0.0,0.0,0.0,0.014822134390538071,0.018181818178766233,0.0
51,4735.77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,92.85823529411766,0.9969334375563706,0.0,0.0,0.0,0.0,0.014285714290389611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004545454551319649,0.02,0.0,0.05681818181747995,0.0,0.0,0.025252525251543208,0.0,0.0,0.0,0.0,0.0,0.036363636367627496,0.12727272727763633,0.0,0.00909090909009091,0.04545454545272728,0.022727272728835228,0.022281639929411762,0.00909090909009091,0.0,0.0,0.0,0.0,0.0,0.05,0.10454545449581819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016363636360167078,0.0,0.0,0.05227272727084257,0.03181818182352941,0.0,0.0,0.0,0.0,0.027272727270707068,0.0,0.009090909090272728,0.0,0.0,0.0,0.0,0.06363636363533334,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.034848484849651515,0.0,0.0,0.0,0.020661157030369415,0.054545454548514845,0.0,0.0,0.0116550116621904,0.007142857140142857,0.0,0.037234042554421545,0.0,0.0,0.0,0.025,0.0,0.09545454545449496,0.0,0.027272727265871835,0.049999999997499996,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02708333332781439,0.0,0.030519480520000003,0.0,0.3,0.0,0.025,0.0,0.0375,0.0,0.03602187286252153,0.0,0.0375,0.0,0.0,0.0,0.05,0.0,0.018181818180363636,0.019642857139716387,0.0,0.0,0.0,0.0,0.014822134390538071,0.018181818178766233,0.0
53,8533.57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,161.01075471698113,0.99681318020564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004545454551319649,0.02,0.0,0.05681818181747995,0.0,0.0,0.025252525251543208,0.0,0.15,0.0,0.0,0.0,0.036363636367627496,0.02727272727163636,0.0,0.00909090909009091,0.04545454545272728,0.022727272728835228,0.022281639929411762,0.00909090909009091,0.0,0.1,0.0,0.0,0.0,0.05,0.10454545449581819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016363636360167078,0.0,0.0,0.05227272727084257,0.03181818182352941,0.0,0.0,0.2,0.0,0.027272727270707068,0.0,0.009090909090272728,0.0,0.0,0.0,0.0,0.06363636363533334,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.01818181817981818,0.0,0.0,0.0,0.020661157030369415,0.054545454548514845,0.0,0.0,0.0116550116621904,0.0,0.0,0.037234042554421545,0.0,0.0,0.0,0.025,0.0,0.09545454545449496,0.0,0.027272727265871835,0.049999999997499996,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02708333332781439,0.0,0.00909090909,0.0,0.0,0.0,0.025,0.0,0.0375,0.0,0.006698564590468899,0.15,0.0375,0.0,0.0,0.0,0.05,0.15789473681180224,0.018181818180363636,0.2125000000054167,0.0,0.0,0.0,0.0,0.014822134390538071,0.018181818178766233,0.0
54,8779.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,162.58037037037036,0.9967530515302748,0.0,0.0,0.0,0.0,0.014285714290389611,0.0,0.0,0.0,0.25,0.0,0.0,0.025,0.0,0.009090909102639298,0.03,0.0,0.06155303030746602,0.0,0.0,0.025252525251543208,0.0,0.0,0.0,0.0,0.0,0.07272727273525499,0.1545454545492727,0.0,0.01818181818018182,0.09090909090545456,0.045454545457670456,0.044563279858823523,0.01818181818018182,0.0,0.0,0.0,0.0,0.0,0.05,0.10909090904563637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032727272720334155,0.0,0.0,0.07954545454046562,0.06363636364705882,0.0,0.0,0.0,0.0,0.054545454541414136,0.0,0.018181818180545456,0.0,0.0,0.0,0.0,0.12727272727066669,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.03636363635963636,0.0,0.0,0.0,0.059504132241680774,0.10909090909702969,0.0,0.0,0.0233100233243808,0.007142857140142857,0.0,0.026595744684408246,0.0,0.0,0.0,0.025,0.0,0.14090909090954545,0.0,0.05454545453174367,0.049999999997499996,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02708333332781439,0.0,0.03961038961,0.0,0.0,0.0,0.025,0.0,0.0375,0.0,0.016404647981148324,0.0,0.0375,0.0,0.0,0.0,0.05,0.0,0.03636363636072727,0.16964285714353994,0.0,0.0,0.0,0.0,0.018774703560341933,0.03636363635753247,0.0
55,11910.02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,216.5458181818182,0.9966929228549095,0.0,0.0,0.2,0.0,0.014285714290389611,0.0,0.0,0.1,0.0,0.0,0.0,0.04,0.0,0.08454545454615836,0.084,0.0,0.07110389609979087,0.0,0.0,0.03131313131302469,0.05,0.0,0.0,0.0,0.1,0.06493506492999683,0.17298701299037922,0.0,0.09480519480523376,0.07402597402444157,0.09415584415874594,0.022281639929411762,0.037662337660376626,0.0,0.0,0.0,0.0,0.0,0.05,0.15168831163393245,0.0,0.05,0.0,0.0,0.0,0.0,0.03333333333128205,0.0,0.04207792207208986,0.0,0.0,0.132272727274745,0.06753246752941176,0.0,0.0,0.0,0.08,0.10727272727324676,0.0,0.06623376623198701,0.0,0.0,0.0,0.0,0.08506493506709524,0.11111111111111112,0.0,0.0,0.0,0.0299999999997,0.0,0.06103896103938961,0.025999999999628574,0.0,0.0,0.06273907910918963,0.06883116883408769,0.0,0.0,0.04799200800344166,0.05714285714114285,0.0,0.05425531915644283,0.0,0.0,0.0,0.025,0.0,0.09545454545449496,0.0,0.04870129869491165,0.06428571428678571,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05208333332831439,0.0,0.09051948052,0.0,0.0,0.18,0.025,0.2,0.0675,0.0,0.018728639781311004,0.0,0.0375,0.0,0.0,0.0,0.09,0.0,0.018181818180363636,0.0696428571409909,0.0,0.0,0.0,0.0,0.07196499152250574,0.03246753246820501,0.0
56,11961.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,213.60625000000002,0.9966327941795442,0.0,0.0,0.2,0.0,0.014285714290389611,0.0,0.0,0.1,0.0,0.0,0.0,0.04,0.0,0.08454545454615836,0.084,0.0,0.07110389609979087,0.0,0.0,0.03131313131302469,0.05,0.0,0.0,0.0,0.1,0.06493506492999683,0.17298701299037922,0.0,0.09480519480523376,0.07402597402444157,0.09415584415874594,0.022281639929411762,0.037662337660376626,0.0,0.0,0.0,0.0,0.0,0.05,0.15168831163393245,0.0,0.05,0.0,0.0,0.0,0.0,0.03333333333128205,0.0,0.04207792207208986,0.0,0.0,0.132272727274745,0.06753246752941176,0.0,0.0,0.0,0.08,0.10727272727324676,0.0,0.06623376623198701,0.0,0.0,0.0,0.0,0.08506493506709524,0.11111111111111112,0.0,0.0,0.0,0.0299999999997,0.0,0.07770562770922294,0.025999999999628574,0.0,0.0,0.06273907910918963,0.06883116883408769,0.0,0.0,0.04799200800344166,0.05714285714114285,0.0,0.05425531915644283,0.0,0.0,0.0,0.025,0.0,0.09545454545449496,0.0,0.04870129869491165,0.06428571428678571,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05208333332831439,0.0,0.09051948052,0.0,0.3,0.18,0.025,0.2,0.0675,0.0,0.04504442925315311,0.0,0.0375,0.0,0.0,0.0,0.09,0.0,0.018181818180363636,0.019642857139716387,0.0,0.0,0.0,0.0,0.07196499152250574,0.03246753246820501,0.0
57,14175.71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,248.69666666666666,0.9965726655041789,0.0,0.0,0.0,0.0,0.014285714290389611,0.0,0.06,0.05,0.0,0.0,0.0,0.3,0.0,0.004545454551319649,0.14,0.0,0.03598484848812946,0.0,0.0,0.10101010100617283,0.2,0.0,0.0,0.0,0.0,0.036363636367627496,0.12727272727763633,0.0,0.00909090909009091,0.04545454545272728,0.022727272728835228,0.022281639929411762,0.00909090909009091,0.0,0.0,0.0,0.0,0.0,0.3,0.004545454549818181,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.1,0.016363636360167078,0.0,0.0,0.02727272726962306,0.03181818182352941,0.0,0.1,0.0,0.0,0.027272727270707068,0.0,0.009090909090272728,0.0,0.0,0.0,0.0,0.06363636363533334,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.01818181817981818,0.019999999999714285,0.0,0.0,0.020661157030369415,0.054545454548514845,0.0,0.0,0.06293706291287994,0.007142857140142857,0.0,0.010638297870013297,0.0,0.0,0.0,0.2,0.0,0.04545454545505051,0.0,0.027272727265871835,0.19999999998999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1250000000025,0.0,0.030519480520000003,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.009706083390679425,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.018181818180363636,0.05714285714067228,0.0,0.0,0.0,0.0,0.003952569169803863,0.018181818178766233,0.0
58,17869.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,308.0920689655172,0.9965125368288137,0.0,0.0,0.0,0.0,0.014285714290389611,0.0,0.0,0.0,0.25,0.0,0.0,0.025,0.0,0.009090909102639298,0.03,0.0,0.06155303030746602,0.0,0.0,0.025252525251543208,0.0,0.0,0.0,0.0,0.0,0.07272727273525499,0.1545454545492727,0.0,0.01818181818018182,0.09090909090545456,0.045454545457670456,0.044563279858823523,0.01818181818018182,0.0,0.0,0.0,0.0,0.0,0.05,0.10909090904563637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032727272720334155,0.0,0.0,0.07954545454046562,0.06363636364705882,0.0,0.0,0.0,0.0,0.054545454541414136,0.0,0.018181818180545456,0.0,0.0,0.0,0.0,0.12727272727066669,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.03636363635963636,0.0,0.0,0.0,0.059504132241680774,0.10909090909702969,0.0,0.0,0.0233100233243808,0.007142857140142857,0.0,0.026595744684408246,0.0,0.0,0.0,0.025,0.0,0.14090909090954545,0.0,0.05454545453174367,0.049999999997499996,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02708333332781439,0.0,0.03961038961,0.0,0.0,0.0,0.025,0.0,0.0375,0.0,0.016404647981148324,0.0,0.0375,0.0,0.0,1.0,0.05,0.0,0.03636363636072727,0.0696428571409909,0.0,0.0,0.0,0.0,0.018774703560341933,0.03636363635753247,0.0
59,17921.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,303.7503389830509,0.9964524081534484,0.0,0.0,0.0,0.0,0.014285714290389611,0.0,0.0,0.0,0.25,0.0,0.0,0.025,0.0,0.009090909102639298,0.03,0.0,0.06155303030746602,0.0,0.0,0.025252525251543208,0.0,0.0,0.0,0.0,0.0,0.07272727273525499,0.1545454545492727,0.0,0.01818181818018182,0.09090909090545456,0.045454545457670456,0.044563279858823523,0.01818181818018182,0.0,0.0,0.0,0.0,0.0,0.05,0.10909090904563637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032727272720334155,0.0,0.0,0.07954545454046562,0.06363636364705882,0.0,0.0,0.0,0.0,0.054545454541414136,0.0,0.018181818180545456,0.0,0.0,0.0,0.0,0.12727272727066669,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.05303030302946969,0.0,0.0,0.0,0.059504132241680774,0.10909090909702969,0.0,0.0,0.0233100233243808,0.007142857140142857,0.0,0.026595744684408246,0.0,0.0,0.0,0.025,0.0,0.14090909090954545,0.0,0.05454545453174367,0.049999999997499996,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02708333332781439,0.0,0.03961038961,0.0,0.3,0.0,0.025,0.0,0.0375,0.0,0.04272043745299042,0.0,0.0375,0.0,0.0,1.0,0.05,0.0,0.03636363636072727,0.019642857139716387,0.0,0.0,0.0,0.0,0.018774703560341933,0.03636363635753247,0.0
60,18025.44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,300.424,0.9963922794780831,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.0,0.0,0.0,0.3,0.0,0.004545454551319649,0.14,0.0,0.03598484848812946,0.0,0.0,0.10101010100617283,0.2,0.15,0.0,0.0,0.0,0.036363636367627496,0.02727272727163636,0.0,0.00909090909009091,0.04545454545272728,0.022727272728835228,0.022281639929411762,0.00909090909009091,0.0,0.1,0.0,0.0,0.0,0.3,0.004545454549818181,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.1,0.016363636360167078,0.0,0.0,0.02727272726962306,0.03181818182352941,0.0,0.1,0.2,0.0,0.027272727270707068,0.0,0.009090909090272728,0.0,0.0,0.0,0.0,0.06363636363533334,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.01818181817981818,0.019999999999714285,0.0,0.0,0.020661157030369415,0.054545454548514845,0.0,0.0,0.06293706291287994,0.0,0.0,0.010638297870013297,0.0,0.0,0.0,0.2,0.0,0.04545454545505051,0.0,0.027272727265871835,0.19999999998999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1250000000025,0.0,0.00909090909,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.006698564590468899,0.15,0.1,0.0,0.0,0.0,0.2,0.15789473681180224,0.018181818180363636,0.20000000000509804,0.0,0.0,0.0,0.0,0.003952569169803863,0.018181818178766233,0.0
