effort,satisfaction,prevalence,cost,dissatisfaction,inestability,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,id,productivity,effectiveness,squandering,dirtiness,annoyance,stickiness,robustness,fragility,usage_efficiency
400,270,128,600,273,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.675,0.45,0.983676800652928,0.6825,1.011111111111111,0.32,0.9060402684563759,95.36,0.21333333333333335
540,380,197,200,180,306,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.7037037037037037,1.9,0.9779636808814528,0.3333333333333333,0.47368421052631576,0.3648148148148148,1.2418300653594772,111.63333333333334,0.985
730,366,97,500,159,238,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0.5013698630136987,0.732,0.9702101611915935,0.21780821917808219,0.4344262295081967,0.13287671232876713,1.5378151260504203,31.624657534246577,0.194
770,390,273,800,172,382,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5064935064935064,0.4875,0.9685778412568864,0.22337662337662337,0.441025641025641,0.35454545454545455,1.0209424083769634,135.43636363636364,0.34125
830,260,271,200,241,340,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.3132530120481928,1.3,0.9661293613548255,0.29036144578313255,0.926923076923077,0.3265060240963855,0.7647058823529411,111.01204819277109,1.355
890,384,189,250,211,347,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.4314606741573034,1.536,0.9636808814527648,0.23707865168539327,0.5494791666666666,0.21235955056179776,1.106628242074928,73.68876404494382,0.756
940,650,325,800,453,604,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,0.6914893617021277,0.8125,0.9616404815343808,0.4819148936170213,0.696923076923077,0.34574468085106386,1.076158940397351,208.82978723404256,0.40625
1035,296,228,1000,257,347,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.28599033816425123,0.296,0.9577637216894511,0.24830917874396136,0.8682432432432432,0.22028985507246376,0.8530259365994236,76.44057971014493,0.228
1065,198,123,750,105,209,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0.18591549295774648,0.264,0.9565394817384207,0.09859154929577464,0.5303030303030303,0.11549295774647887,0.9473684210526315,24.138028169014085,0.164
1130,636,225,1100,432,536,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10,0.5628318584070796,0.5781818181818181,0.9538869618445215,0.3823008849557522,0.6792452830188679,0.19911504424778761,1.1865671641791045,106.72566371681415,0.20454545454545456
1150,200,153,500,138,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0.17391304347826086,0.4,0.953070801877168,0.12,0.69,0.13304347826086957,0.6756756756756757,39.38086956521739,0.306
1170,660,401,1400,445,680,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0.5641025641025641,0.4714285714285714,0.9522546419098143,0.3803418803418803,0.6742424242424242,0.34273504273504274,0.9705882352941176,233.05982905982907,0.2864285714285714
