effort,satisfaction,time,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,req_19,req_20,req_21,req_22,req_23,req_24,req_25,req_26,req_27,req_28,req_29,req_30,req_31,req_32,req_33,req_34,req_35,req_36,req_37,req_38,req_39,req_40,req_41,req_42,id,productivity,squandering,response,opportunity,stcov_cv1,stcov_cv2,stcov_cv3,stcov_cv4
25,309.0,273.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12.36,0.9823570924488356,10.92,1.1318681318681318,0.03361344537815126,0.07630522088353414,0.06666666666666667,0.036101083032490974
41,467.0,422.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,11.390243902439025,0.9710656316160904,10.292682926829269,1.1066350710900474,0.058823529411764705,0.08032128514056225,0.09393939393939393,0.06498194945848375
60,623.0,569.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,10.383333333333333,0.9576570218772054,9.483333333333333,1.0949033391915641,0.08403361344537816,0.10040160642570281,0.12121212121212122,0.08664259927797834
76,779.0,716.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,10.25,0.9463655610444601,9.421052631578947,1.0879888268156424,0.1092436974789916,0.12048192771084337,0.1484848484848485,0.10830324909747292
99,845.0,776.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,8.535353535353535,0.9301340860973889,7.838383838383838,1.0889175257731958,0.12184873949579832,0.1285140562248996,0.15151515151515152,0.12274368231046931
111,867.0,816.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,7.8108108108108105,0.92166549047283,7.351351351351352,1.0625,0.1092436974789916,0.1566265060240964,0.15151515151515152,0.1371841155234657
127,1025.0,965.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,8.070866141732283,0.9103740296400847,7.5984251968503935,1.0621761658031088,0.13445378151260504,0.1606425702811245,0.1787878787878788,0.16606498194945848
146,1181.0,1112.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8.08904109589041,0.8969654199011997,7.616438356164384,1.0620503597122302,0.15966386554621848,0.18072289156626506,0.20606060606060606,0.18772563176895307
162,1337.0,1259.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,8.253086419753087,0.8856739590684545,7.771604938271605,1.061953931691819,0.18487394957983194,0.20080321285140562,0.23333333333333334,0.20938628158844766
209,1480.4,1189.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,7.0832535885167465,0.8525052928722654,5.688995215311005,1.2450798990748528,0.1722689075630252,0.18875502008032127,0.21818181818181817,0.20216606498194944
